'Ard Case, (Unverified in 7th)Codex: Orks (pg 93)(Source: ??)
Hit & Run, (Unverified in 7th)A unit that contains at least one model with this special rule that is locked in combat can choose to leave close combat at the end of any Assault phase. If the unit wishes to do so&COMMA it must take an Initiative test.&CRLF&CRLFIf the test is failed&COMMA nothing happens and the models remain locked in the fight. If the test is passed&COMMA choose a direction - then roll 3D6. As long as the distance rolled&COMMA in inches&COMMA is sufficient to allow the entire unit to move over 1"away from all of the enemy units they are engaged in combat with&COMMA the unit breaks away from combat and immediately moves a number of inches in the chosen direction equal to the 3D6 result&COMMA ignoring the units they were locked in combat with. No Sweeping Advance rolls are made. Enemy units that are no longer locked in combat immediately Consolidate D6".&CRLF&CRLFA Hit & Run move is not slowed by difficult terrain&COMMA but treats dangerous terrain normally. It may not be used to move into contact with enemy units&COMMA and models instead stop 1" away. If there are units with this rule on both sides who wish to disengage&COMMA roll-off to determine who goes first and then alternate disengaging them. If the last of these ends up no longer in combat&COMMA it Consolidates instead.(Source: 40k Rulebook&COMMA p.38)
Holo-fields, (Unverified in 7th)Provided the vehicle moved in the previous turn&COMMA it gains +1 cover save. If it does not already have a cover save&COMMA it gains a 6+ cover save.(Source: ??)
Hood of Hellfire, (Unverified in 7th)The Hood of Hellfire is a psychic hood. Furtl1ermore&COMMA it enables Tigurius to re-roll failed Psychic tests.
Hover Strike, (Unverified in 7th)At the start of its Movement phase&COMMA a model with this special rule can declare that it is making a special Hover Strike this turn.  If it does so&COMMA its unit type changes to Skimmer until the start of its next Movement phase.  It gains the Strafing Run special rule but cannot move&COMMA except to pivot on the spot.(Source: ??)
Ichor Blood, (Unverified in 7th)Any unit that causes one or more unsaved wounds on a model with ichor blood during the Fight sub-phase immediately takes a S3 AP4 hit per Wound caused.(Source: ??)
Icon of Despair, (Unverified in 7th)Units with the Mark of Nurgle only. All models with the Mark of Nurgle in a unit equipped with an icon of despair have the Fear special rule.(Source: ??)
Icon of Excess, (Unverified in 7th)Units with the Mark of Slaanesh only. All models with the Mark of Slaanesh in a unit equipped with an icon of excess have the Feel no Pain special rule.(Source: ??)
Icon of Flame, (Unverified in 7th)Units with the Mark of Tzeentch only. All boltguns&COMMA combi- bolters&COMMA heavy bolters and bolt pistols carried by models with the Mark of Tzeentch in a unit equipped with an icon of flame have the Soul Blaze special rule.(Source: ??)
Icon of Old Caliban, (Unverified in 7th)Friendly Dark Angels within 12" add 1 to their combat resolution(Source: ??)
Icon of Vengance, (Unverified in 7th)All models in a unit equipped with an icon of vengeance have the Fearless special rule.(Source: ??)
Icon of Wrath, (Unverified in 7th)Units with the Mark of Khorne only. All models with the Mark of Khorne in a unit equipped with an icon of wrath have the Furious Charge special rule. When determining its charge range&COMMA a unit with this icon may re-roll the result.(Source: ??)
Ignores Cover, (Unverified in 7th)Cover saves cannot be taken against Wounds caused by weapons with the Ignores Cover special rule.(Source: 40k Rulebook&COMMA p.38)
Impact, (Unverified in 7th)In a fight sub-phase in which the wielder did not charge the weapon counts as a basic close combat weapon(Source: ??)
Independent Character, Mighty heroes go where they are needed&COMMA charging at the forefront of the most vital charges and leading their troops to victory. Independent Characters can join other units. They cannot&COMMA however&COMMA join units that contain vehicles or Monstrous Creatures. They can join other Independent Characters&COMMA though&COMMA to form a powerful multi-character unit!  \\ \textbf{Joining and Leaving a Unit} \\ An Independent Character can begin the game already with a unit&COMMA either by being deployed in unit coherency with it or&COMMA if the unit is in Reserve&COMMA by you informing your opponent of which unit it has joined. In order to join a unit&COMMA an Independent Character simply has to move so that he is within the 2" unit coherency distance of a friendly unit at the end of their Movement phase. If the Independent Character is within 2" of more than one unit at the end of its Movement phase&COMMA the player must declare which unit it is joining. If an Independent Character does not intend to (or cannot) join a unit&COMMA it must (where possible) remain more than 2" away from it at the end of the Movement phase. This is to make clear whether they have joined a unit or not. Note that&COMMA after an Independent Character joins a unit&COMMA that unit can move no further that Movement phase. An Independent Character can leave a unit during the Movement phase by moving out of unit coherency with it. He cannot join or leave during any other phase - once shots are fired or charges are declared&COMMA it is too late to join in or duck out! An Independent Character cannot leave a unit while either he or the unit is in Reserves&COMMA locked in combat&COMMA Falling Back or has Gone to Ground. He cannot join a unit that is in Reserves&COMMA locked in combat or Falling Back. If an Independent Character joins a unit&COMMA and all other models in that unit are killed&COMMA he again becomes a unit of one model at the start of the following phase. While an Independent Character is part of a unit&COMMA he counts as part of the unit for all rules purposes&COMMA though he still follows the rules for characters. \\ \textbf{Look Out&COMMA Sir} \\ Independent Characters pass Look Out&COMMA Sir rolls on a 2+. \textbf{Heroic Morale} A unit that contains one or more Independent Characters does not need a double 1 to Regroup if reduced to below 25% of its starting numbers&COMMA but instead tests as if it had at least 25% remaining. \textbf{Special Rules} \\ When an Independent Character joins a unit&COMMA it might have different special rules from those of the unit. Unless specified in the rule itself (as in the Stubborn special rule)&COMMA the unit's special rules are not conferred upon the Independent Character&COMMA and the Independent Character's special rules are not conferred upon the unit. Special rules that are conferred to the unit only apply for as long as the Independent Character is with them. \textbf{Independent Characters and Infiltrate} An Independent Character without the Infiltrate special rule cannot join a unit of Infiltrators during deployment. \textbf{Independent Characters and Ongoing Effects} \\  Sometimes&COMMA a unit that an Independent Character has joined will be the target of a beneficial or harmful effect&COMMA such as those bestowed by the Blind special rule&COMMA for example. If the character leaves the unit&COMMA both he and the unit continue to be affected by the effect&COMMA so you'll need to mark the character accordingly. For example&COMMA Farseer Mehiledrin and his unit of Eldar Guardians are set ablaze by a weapon with the Soul Blaze special rule. If Mehiledrin leaves the unit&COMMA both he and the Guardians will still be ablaze and the ongoing effects of the Soul Blaze rule must be resolved separately. Conversely&COMMA if an Independent Character joins a unit after that unit has been the target of an ongoing effect (or joins a unit after himself having been the target of an ongoing effect) benefits and penalties from that effect are not shared. For example&COMMA Crimson Fists Tactical Squad Hemanez is suffering the effects of the Blind special rule. If Captain Cruiz joins the unit&COMMA he does not suffer the results of the Blind special rule as he was not there when it happened! 
Infiltrate, (Unverified in 7th)Units that contain at least one model with this special rule are deployed last&COMMA after all other units (friend and foe) have been deployed. If both sides have Infiltrators&COMMA the players roll-off and the winner decides who goes first&COMMA then alternate deploying units. &CRLF&CRLFInfiltrators can be set up anywhere on the table that is more than 12" from any enemy unit&COMMA as long as no deployed enemy unit can draw line of sight to them. This includes in a building (see page 121)&COMMA as long as the building is more than 12" from any enemy unit. Alternatively&COMMA they can be set up anywhere on the table more than 18" from any enemy  unit&COMMA even in plain sight.&CRLF&CRLFA unit that deploys using these rules cannot charge in the first turn.&CRLF&CRLFHaving Infiltrate also confers the Outflank special rule to units of Infiltrators that are kept in Reserves (see page 40). If a unit with Infiltrate is deployed inside a Dedicated Transport&COMMA they may Infiltrate or Outflank along with their Transport&COMMA but if they do&COMMA they must deploy/move onto the table embarked within it.&CRLF&CRLFAn Independent Character without the Infiltrate special rule cannot join a unit of Infiltrators during deployment. (Source: 40k Rulebook&COMMA p.38)
Inner Circle, (Unverified in 7th)Fearless and Preferred Enemy (Chaos Space Marines)(Source: Codex: Dark Angels 6th&COMMA p.28)
Internal Guidance System, (Unverified in 7th)Reduce the ammount of scatter by the minimum required to prevent landing on terrain or another model. If the Drop Pod scatters off the table roll on the Deep Strike Mishap table.(Source: ??)
Iron Resolve, (Unverified in 7th)This model has a +1 Leadership.(Source: Codex Eldar&COMMA p.30)
It Will Not Die, (Unverified in 7th)At the end of each friendly turn&COMMA roll a D6 for each model with this special rule that has less than it's starting number of wounds or hull points&COMMA but has not been removed as a casualty or destroyed. On a roll of 5+&COMMA that model regains a Wound or Hull Point&COMMA lost earlier in the battle.(Source: ??)
It's a Grot's Life, (Unverified in 7th)Orks use the tribe's Gretchin for all manner of dangerous and unsavoury battlefield roles. If a Grotz mob moves into a minefield then remove the minefield marker and 3D6 Grotz along with it as green limbs fly in all directions.
Jink, WHen being shot at&COMMA before to-hit rolls are made&COMMA a model can "Jink" to recieve a 4+ cover save. In the following turn&COMMA that model can only fire snap shots.
Juggernaut of Khorne, (Unverified in 7th)The model received +1 Toughness&COMMA +1 Wound&COMMA +1 Attack and his unit type becomes Cavalry.(Source: ??)
Jump, (Unverified in 7th)Jump units can move over all other models and terrain freely.  Begin/end in diff. terrain = dangerous terrain test. Jump move n movement or assault&COMMA not both.  Movement: move up to 12". Assault: re-roll distance and gain Hammer of Wrath for the turn. When falling back&COMMA move 3d6". Confers Bulky and Deep Strike rules.
Jump Pack, (Unverified in 7th)Models equipped with jump packs have the jump unit type&COMMA as described in the warhammer 40&COMMA000 rulebook.(Source: ??)
Khaine Awakened, (Unverified in 7th)All friendly units chosen from Codex:Eldar within 12" are Fearless.(Source: ??)
Killa Reputation, (Unverified in 7th)Codex: Orks (pg 62)(Source: ??)
Kombi-weapon, (Unverified in 7th)The shoota part of the kombi-weapon can be fired normally&COMMA but the other half of the weapon may only be used once per battle. They may not be fired at the same time.(Source: ??)
Kustom Force Field, (Unverified in 7th)Codex: Orks (pg 34)(Source: ??)
Lance, (Unverified in 7th)Weapons with the Lance special rule count vehicle Armour values higher than 12 as 12.(Source: 40k Rulebook&COMMA p.38)
Laser Lock, Roll to hit with this weapon first&COMMA if it hits at least once&COMMA treat ll other weapons as Twin-Linked(Source: ??)
Lash of Torment, (Unverified in 7th)The Lash of Torment reduces the Attacks of any model in base contact with Lucius by 1 (to a minimum of 1). In addition&COMMA all of Lucius' close combat attacks have the Shred special rule.(Source: ??)
Lasher Tendril, (Unverified in 7th)Each set of lasher tendrils reduces the Attacks characteristics of every model (friend and foe) in base contact with the bearer by 1 (to a minimum of 1) whilst they remain in base contact. The effects of multiple sets are cumulative.(Source: ??)
Lord of Decadence, (Unverified in 7th)In a primary detachmmt that includes Lucius&COMMA Noise Marines are troop choices instead of elites.(Source: ??)
Lord of Terror (Warlord Trait), (Unverified in 7th)The Warlord has the Fear special rule.(Source: ??)
Lord of the Plauge Host, (Unverified in 7th)In a primary detachment that includes Typhus&COMMA Plague Marines are troops choices instead of elites.(Source: ??)
ML1, Psyker mastery level 1
ML2, Psyker mastery level 2
ML3, Psyker mastery level 3
Magma Cutter, (Unverified in 7th)If a Maulterfiend hits with at least one Attack in the Fight sub-phase&COMMA it may make an additional Attack with one of its magma cutters against one of the models it hit. If it hit with all of its Attacks&COMMA it instead makes two additional Attacks with its magma cutters against one of the models it hit.&CRLF&CRLFThese Attacks hit automatically and are resolved at Initiative 1.(Source: ??)
Mandiblaster, (Unverified in 7th)During the Fight sub-phase&COMMA at the Initiative 10 step&COMMA a model with mandiblasters automatically inflicts a single Strength 3 AP- hit on one enemy unit in base contact. If a model with a mandiblaster is in a challenge&COMMA this hit must be directed against his opponent. Mandiblasters are not affected by special rules that reduce Initiative. (Source: ??)
Mandiblasters, (Unverified in 7th)At I10 a model with mandiblasters inflicts a S3 AP- hit on one enemy model in base contact
Mantle of the Laughing God, (Unverified in 7th)The bearer loses the Independent Character special rule but has the Hit & Run&COMMA Shrouded and Stealth special rules. In addition the bearer can re-roll failed cover saves.
Mark of Chaos Ascendant, (Unverified in 7th)If Abaddon is included in your primary detachment&COMMA he must be the Warlord. He also has all four Marks of Chaos. Note that&COMMA due to the Mark of Tzeentch&COMMA the invulnerable save provided by Abaddon 's Terminator armour is increased to 4+.(Source: ??)
Mark of Khorne, (Unverified in 7th)Models with the Mark of Khorne have the Rage and Counter-attack special rules.(Source: ??)
Mark of Nurgle, (Unverified in 7th)Models with the Mark of Nurgle have +1 Toughness.(Source: ??)
Mark of Slaanesh, (Unverified in 7th)Models with the mark of Slaanesh have +I Initiative.(Source: ??)
Mark of Tzeentch, Models with the Mark of Tzeentch have +1 to their invulnerable save.(Source: ??)
Marked for Retribution, (Unverified in 7th)Belial's shooting attacks are precision Shots on a to hit roll of 5+(Source: Codex: Dark Angels 6th&COMMA p.56)
Marksman's Eye, (Unverified in 7th)This model makes Precision Shots on a 5+&COMMA rather than a 6.(Source: ??)
Mask of Jain Zar, (Unverified in 7th)When Jain Zar charges into combat&COMMA all enemy models in the combat suffer a -5 modifier to both Weapon Skill and Initiative (to a minimum of 1) until the end of the Assault phase. The initiative penalty is not cumulative with that from a Banshee mask.(Source: Codex Eldar&COMMA p.57)
Master Psyker, (Unverified in 7th)When generating psychic powers&COMMA Tigurius may re-roll any or all of the dice to see which powers he knows. 
Master of Deception (Warlord Trait), (Unverified in 7th)Nominate up to D3 Infantry units in your army before deployment. Those units gain the Infiltrate special rule.(Source: ??)
Master of Mechanisms, (Unverified in 7th)In each of your Shooting phases&COMMA instead of firing his weapons&COMMA a Warpsmith may choose to either repair a single friendly&COMMA damaged vehicle or curse a single enemy vehicle. The Warpsmith cannot use this ability if he has gone to ground or is falling back.&CRLF&CRLFTo repair a vehicle&COMMA the Warpsmith must be in base contact with it or embarked upon it. Roll a D6&COMMA (add +1 if the Warpsmith has mechatendrils). If the result is 5 or more&COMMA you may either restore a Hull Point lost earlier in the battle or repair a Weapon Destroyed or Immobilised result suffered earlier in the battle&COMMA effective immediately.&CRLF&CRLFTo curse a vehicle&COMMA the Warpsmith must be within 18" of it. Roll To Hit the vehicle using the Warpsmith's Ballistic Skill. If the curse hits&COMMA all of that vehicle's weapons have the Gets Hot special rule until the end of its next turn.(Source: ??)
Master of Pathfinders, (Unverified in 7th)If your army contains Illic Nightspear&COMMA any number of Eldar Rangers can be upgraded to Alaitoc Pathfinders at an additional cost of 13 points per model. In addition to the normal rules for Eldar Rangers&COMMA Alaitoc Pathfinders have the Shrouded and Sharpshot special rules.(Source: Codex Eldar&COMMA p.92)
Master of the Rubricae, (Unverified in 7th)In a primary detachment that includes a Sorcerer with the Mark of Tzeentch&COMMA Thousand Sons are troops choices instead of elites.(Source: ??)
Master-Crafted, (Unverified in 7th)Weapons with the Master-crafted rule allow the bearerto re-roll one failed roll To Hit per rurn with that weapon. 
Master-crafted, (Unverified in 7th)Weapons with the Master-crafted special rule allow the bearer to re-roll one failed roll To Hit per turn with that weapon.(Source: 40k Rulebook&COMMA p.39)
Mastery Level 1, (Unverified in 7th)Generate 1 Warp Charge per turn&COMMA choose 1 power from: Divination&COMMA Pyromancy&COMMA Telepathy or Telekinesis(Source: ??)
Mastery Level 2, (Unverified in 7th)Generate 2 Warp Charges per turn&COMMA choose 2 powers from: Divination&COMMA Pyromancy&COMMA Telepathy and/or Telekinesis(Source: ??)
Mechatendrils, (Unverified in 7th)Mechatendrils give the wearer +2 Attacks. Mechatendrils also include a meltagun and a flamer. In the Shooting phase&COMMA the Warpsmith can fire either both mecharendril weapons or one mechatendril weapon and one other weapon.(Source: ??)
Mega Armour, (Unverified in 7th)Mega armour confers a 2+ armour save.(Source: ??)
Mek's Tools, (Unverified in 7th)Codex: Orks (pg 34)(Source: ??)
Melee, (Unverified in 7th)This is a melee weapon
Melta, (Unverified in 7th)Ranged weapons with this special rule roll an additional D6 when rolling to penetrate a vehicle's Armour at half range or less. If the weapon is more than half its maximum range&COMMA it rolls to penetrate as normal.(Source: 40k Rulebook&COMMA p.39)
Meteoric Descent, (Unverified in 7th)Heldrakes have the Vector Strike special rule. However&COMMA as they are a vehicle&COMMA they can perform a Vector Strike whilst Zooming instead of whilst Swooping. Furthermore&COMMA hits caused by a Heldrake's Vector Strike are resolved at Strength 7.(Source: ??)
Mindlock, (Unverified in 7th)Unless it includes a Techamrine&COMMA an unengaged unit that contains at least one model with theis special rule must roll a D6 at the start of its turn.  &CRLFOn a 4+ there is no effect this turn.  On a roll of 1&COMMA2 or 3&COMMA the unit is mindlocked until the start of its follwoing turn.  &CRLFA mindlocked unit may not voluntarily mov&COMMA shoot or charge.  A mindlocked unit must still make compulsory moves&COMMA such as Pile In and Fall Back moves.(Source: Codex: Dark Angels 6th&COMMA p.32)
Mindshock Pod, (Unverified in 7th)All successful Morale and Pinning tests made within 12" of a Hemlock Wraitfighter must be re-rolled.(Source: Codex Eldar&COMMA p.67)
Mob Rule, (Unverified in 7th)Ork psychology and morale is directly linked to the number of Boyz around them at any given time.  As individuals&COMMA Orks are cowardly and unfocused creatures.  But when banded together&COMMA usually led by larger&COMMA braver Orks&COMMA they become more than willing to charge into any potentially suicidal situation!&CRLF    &CRLFBecause of this&COMMA Orks substitute their leadership with the total number of wounds in their unit&COMMA unless it would normally be higher.  This means multi-wound models contribute their current number of wounds to this rule.  If the Mob numbers to 11 or more&COMMA the unit becomes Fearless.
Molten Body, (Unverified in 7th)The avatar is unaffected by all Pyromancy psychic powers&COMMA all flamer weapons as defined in the 40k reulbook&COMMA anb all attacks that have the Melta and/or Soul Blaze special rule.(Source: Codex Eldar&COMMA p.26)
Monofilament, (Unverified in 7th)If the target's majority Initiative is 3 or lower&COMMA or the target has no Initiative characteristic&COMMA then Hits from a weapon with this special rule are resolved at +1 Strength. If two or more Initiative characteristics are tied for majority&COMMA use the highest of those tied values. Additionally&COMMA if a 6 is rolled To Wound with this weapon&COMMA the garget is wounded automatically and the Wound is resolved at AP 1.(Source: ??)
Monster Hunter, (Unverified in 7th)A unit that contains at least one model with this special rule re-rolls all failed To Wound rolls against Monstrous Creatures and Flying Monstrous Creatures. (Source: 40k Rulebook&COMMA p.39)
Monstrous Creature, SHOOTING: Monstrous Creatures can fire up to two of their weapons each Shooting phase - they must&COMMA of course&COMMA fire both of them at the same target. SPECIAL RULES: Monstrous Creatures have the fear&COMMA Hammer of Wrath&COMMA Move Through Cover&COMMA Relentless and Smash special rules.
More Dakka, (Unverified in 7th)Codex: Orks (pg 92)(Source: ??)
Mork's Teeth, (Unverified in 7th)Codex: Orks (pg 62)(Source: ??)
Move Through Cover, A unit that contains at least one model with this special rule rolls an extra D6 when rolling to move through difficult terrain and is not slowed by charging through difficult terrain. In most circumstances&COMMA this will mean that&COMMA when moving&COMMA the unit rolls 3D6 and picks the highest roll. Furthermore&COMMA a model with the Move Through Cover special rule automatically passes Dangerous Terrain tests.
Murder, (Unverified in 7th)Immediately before the start of the first turn you must nominate one enemy character to be the target of the bearer of the Murder Sword (this can even be one in reserve; remember to tell your opponent which character you have nominated). Whilst the bearer is in base contact with the nominated character&COMMA the Murder Sword's Strength becomes x2&COMMA its AP becomes 1&COMMA and it has the Instant Death special rule.(Source: ??)
Mutilator Weapons, (Unverified in 7th)If a Mutilator unit is locked in combat at the start of a Fight sub-phase&COMMA they must choose one of the weapons options from the following list:&CRLF&CRLF  A pair of chainfists&CRLF  A pair of power mauls&CRLF  A pair of lightning claws&CRLF  A pair of power swords&CRLF  A pair of power axes&CRLF&CRLFEvery Mutilator in a unit must choose the same weapons option. A Mutilator unit cannot choose the same weapons option in two consecutive Fight sub-phases.(Source: ??)
Nest of Vipers, (Unverified in 7th)Codex: Orks (pg 61)(Source: ??)
New Rule, (Unverified in 7th)Noise Marines are troops instead of elites.(Source: ??)
Nexus of Khorne, (Unverified in 7th)In a primary detachment that includes Kharn&COMMA Khorne Berzerkers are troops choices instead of elites.(Source: ??)
Night Vision, (Unverified in 7th)A unit that contains at least one model with this special rule ignores the effects of Night Fighting.(Source: 40k Rulebook&COMMA p.40)
No Charge/Cover Penalty, (Unverified in 7th)Bearer suffers no Initiative penalty for charging through cover
Non Jump Infantry, (Unverified in 7th)Assault units that drop their Jump Packs for a Drop Pod or Rhino are no longer Jump Infantry&COMMA just regular Infantry.&CRLFAll other rules apply(Source: ??)
Obliterator Weapons, (Unverified in 7th)In each of your Shooting phases&COMMA you must choose what weapon the Obliterators in the unit will fire from the following list:&CRLF&CRLF Assault cannon&CRLF Heavy flamer&CRLF Lascannon&CRLF Multi-melta&CRLF Plasma cannon&CRLF Twin-linked flamer&CRLF Twin-linked meltagun&CRLF Twin-linked plasma gun&CRLF&CRLFEvery Obliterator in the unit must fire the same weapon. An Obliterator unit cannot choose to fire the same weapon in two of your consecutive Shooting phases.(Source: ??)
One Scalpel Short of a Medpack, (Unverified in 7th)Codex: Orks (pg 59)(Source: ??)
Outflank, (Unverified in 7th)When an Outflanking unit arrives from Reserves&COMMA but not Ongoing Reserve&COMMA the controlling player rolls a D6; on a 1-2&COMMA the unit comes in from the table edge to the left of their controlling player's own table edge; on a 3-4&COMMA they come on from the right; on a 5-6&COMMA the placyer can choose left or right. Models move onto the table as describe for other Reserves. If such units are picked from their army list with a Dedicated Transport&COMMA they may Outflank along with their Transport&COMMA but if they do&COMMA they must move onto the table embarked within it.(Source: 40k Rulebook&COMMA p.40)
Palanquin of Nurgle, (Unverified in 7th)The model receives +2 Wounds&COMMA +1 Attack and gains the Very Bulky special rule.(Source: ??)
Perfect Strike, (Unverified in 7th)A model with this special rule makes Precision Shots on To Hit rolls of a 6.(Source: Codex Eldar&COMMA p.39)
Pinning, (Unverified in 7th)If a non-vehicle unit suffers one or more unsaved Wounds from a weapon with the Pinning special rule&COMMA it must immediately take a Leadership test. This is called a Pinning test. &CRLF&CRLFIf a unit fails the test&COMMA it is pinned and must immediately Go to Ground (see page 18). As the unit has already taken its saves&COMMA going to ground does not protect it against the fire of the Pinning weapon that caused the test (or indeed from any other weapons fired by the same unit that phase) - it's too late!&CRLF&CRLFAs long as the test is passed&COMMA a unit can be called upon to take multiple Pinning tests in a single turn&COMMA but only once for each unit shooting at them. If a unit has already gone to ground&COMMA no further pinning tests are taken.&CRLF&CRLFIf the special rules of a unit specify that the unit can never be Pinned&COMMA the unit automatically passes Pinning tests. Such units can still Go to Ground voluntarily if they wish. (Source: 40k Rulebook&COMMA p.40)
Plasma Grenade, (Unverified in 7th)Models equipped with plasma grenades don't suffer the penalty to their Initiative for charging enemies through difficult terrain.(Source: 40k Rulebook&COMMA p.62)
Plauge Zombies, (Unverified in 7th)Any Chaos Cultist units (see the army list&COMMA pg 95) in the same army as Typhus can be nominated as Plague Zombies. Plague Zombies are Chaos Cultists that have the Fearless&COMMA Feel No Pain and Slow and Purposeful special rules&COMMA and cannot purchase options. They are armed with a single close combat weapon -any guns are used strictly for the purposes of clubbing meir victims to death!(Source: ??)
Poisoned, (Unverified in 7th)Poisoned CC weps must reroll failed To Wound rolls if the wielder has equal to or higher S than the target's T. Additionally&COMMA Poisoned guns default to 4+ when unspecified&COMMA and have a default S of 1. (Source BRB pp. 40)
Porta-Rack, (Unverified in 7th)f the bearer kills an enemy character in close combat he gains Preferred Enemy (current enemy) and Fear. In addition any enemy Teleport Homers and Locator Beacons can be used as if they were your own.
Power of the Machine Spirit, (Unverified in 7th)So long as the vehicle dosen't move flat out or pop smoke&COMMA it may fire an additional weapon than normal and may fire at a different target.(Source: ??)
Power-Field Generator, (Unverified in 7th)All models within 3" have 4++
Preferred Enemy, (Unverified in 7th)This rule is often presented as Preferred Enemy (X) where X identifies a specific type of foe. If the special rule does not specify a type of foe&COMMA then everyone is a Preferred Enemy of the unit. A unit that contains at least one model with this special rule re-rolls failed To Hit and To Wound rools of 1 if attacking its Preferred Enemy. This applies to both shooting and close combat attacks. (Source: 40k Rulebook&COMMA p.40)
Preferred Enemy (Chaos Space Marines), (Unverified in 7th)Reroll all failed to hit and to wound rolls of 1 against the chosen enemy in both shooting and assault.(Source: BRB&COMMA p.40)
Prophet of the Waaagh!, (Unverified in 7th)Ghazghkull's war cry can unleash a Waaagh! of devastating proportions. Ghazghkull's Waaagh! can be summoned at any time&COMMA but only once per game&COMMA and not on the first turn. It replaces the army's usual Waaagh! - this one is better.&CRLF&CRLF    Ghazghkull's Waaagh! lasts the remainder of that player turn and all the following player turn. During this period Ghazghkull's saving throw is invulnerable.&CRLF    &CRLFFurthermore&COMMA for the duration of the Waaagh ! all Ork infantry units automatically count as rolling a 6 for the Waaagh! movement they wish to make. All non-fleeing friendly units become Fearless for the duration of the Waaagh!.&CRLF&CRLFNote that no more than one Waaagh! can be called per turn&COMMA so Ghazghkull cannot combine his Waaagh! with the Waaagh! generated by a Weirdboy.
Psycher (Master Level 2), (Unverified in 7th)Typhus generates his powers from the Nurgle discipline.(Source: ??)
Psychic Hood, (Unverified in 7th)Each time a unit (or rnodel) is targeted by an enemy psychic power and is within 6" of a friendly model with a psychic hood&COMMA the wearer of the hood can attempt to Deny the Witch in their stead&COMMA as if he were in that unit. If a model with a psychic hood is embarked on a vehicle&COMMA he can only use the hood to protect the vehicle he is embarked upon.
Psychic Pilot, (Unverified in 7th)A vehicle with this special rule is treated as being Leadership 10 (before modifiers) for the purposes of Psychic tests. If the vehicle suffers Perils of the Warp&COMMA treat is as a glancing hit.(Source: 40k Rulebook&COMMA p.40)
Psychic: Weirdboy Psychic Powers, (Unverified in 7th)Codex: Orks (pg 37)(Source: ??)
Psychic: Zogwort's Curse, (Unverified in 7th)Codex: Orks (pg 61)(Source: ??)
Psyker, See the Warhammer 40K rulebook.
Rad Charge, (Unverified in 7th)Every model in a unit hit by one or more rad shells suffers a -1 penalty to their Toughness until the end of the turn ( this can affect the victims' Instant Death threshold) .(Source: ??)
Rage, +2 attacks on charge rather than +1. A model that has made a disordered charge that turn receives no benefit from Rage.
Ramshackle, Roll a D6 each time a Trukk suffers a penetrating hit. On the roll of a 6&COMMA the Trukk only suffers a glancing hit instead.
Rapid Fire, (Unverified in 7th)Can fire as normal after moving (1shot at full range&COMMA 2 at half or less)&COMMA but cannot assault.
Ravenwing Combat Squads, (Unverified in 7th)The Attack bike and Land speeder are purchased as part of the Squadron but will always operate as an individual&COMMA if there are 6 bikers left after the attack bike and land speeder have split&COMMA then they operate as two squadrons of 3(Source: ??)
Reaper Rangefinder, (Unverified in 7th)Enemies cannot take Jink cover saves against shots fired by a unit that contains at least one model with a reaper rangefinder.(Source: ??)
Red Paint Job, Ork vehicles with red paint jobs add +1" to their move when they move Flat Out.
Reinforced Ram, (Unverified in 7th)A vehicle with a Reinforced ram can Tank Shock&COMMA and treats its front armour as two higher than normal when resolving Death or Glory attacks (to a maximum of 14). Furthermore&COMMA the vehicle may re-roll Dangerous Terrain tests.(Source: ??)
Relentless, Relentless models can shoot with Heavy&COMMA Salvo or Ordnance weapons&COMMA counting as stationary&COMMA even if they moved in the previous Movement phase. They are also allowed to charge in the same turn they fire Heavy&COMMA Ordnance&COMMA Rapid Fire or Salvo weapons.
Rending, (Unverified in 7th)If a model has the Rending special rule&COMMA or is attacking with a Melee weapon that has the Rending special rule&COMMA there is a chance that his close combat attacks will strike a critical blow. For each To Wound roll of a 6&COMMA the target automatically suffers a Wound&COMMA regardless of his Toughness. These Wounds are resolved at AP2. &CRLF&CRLFSimilarly&COMMA if a model makes a shooting attack with a weapon that his the Rending special rule&COMMA a To Wound roll of 6 wounds automatically&COMMA regardless of Toughness&COMMA and is resolved at AP2.&CRLF&CRLFIn either case&COMMA against vehicles&COMMA each armour penetration roll of 6 allows a further D3 to be rolled&COMMA with the result added to the total. (Source: 40k Rulebook&COMMA p.41)
Repair, (Unverified in 7th)If a Rhino is Immobilised&COMMA then during the shooting phase you may roll a D6 instead of shooting&COMMA on a 6 the Rhino is no longer immobilised(Source: ??)
Rites of Battle, (Unverified in 7th)All models in Codex: Dark Angels 6th use his Azrael's Ledership as long as he is on the table.(Source: Codex: Dark Angels 6th&COMMA p.53)
Rocket Barrage, (Unverified in 7th)In a turn in which the vehicle has not moved&COMMA the mutli-launchers rate of fire is increased to Heavy 1+D3.(Source: FW Relic_Scorpius PDF&COMMA p.0)
Rokkit Pack, (Unverified in 7th)Rokkit packs count as jump packs. Every time the Stormboyz utilises its rokkit packs to move or fall back&COMMA roll a D6. On the roll of a 1&COMMA one of the rokkit packs has gone out of control. Its owner lands his head and the pack detonates. Remove a Stormboy model as a casualty. Regardless of the result you may add the number rolled to the amount the unit moves that turn.(Source: ??)
Runes of Warding, (Unverified in 7th)One use only. Immediately before the Farseer makes a Deny the Witch roll&COMMA he can choose to use these runes to grant his unit an additional +2 modifier to the dice roll.
